,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi,PadN
1921,0,123,16,1,B4,1,4,ZZ.00.123,0.0,J1,25,0.507236313860852,61.186323913873125,34.0034375601438,-96.64055892465493,405.2277359288643,416.59202536210785,1.804907912318289,132
1944,0,124,16,1,C3,2,3,ZZ.00.124,0.0,J1,29,0.5113269292952137,61.046717396499766,34.25344209144378,-98.24411947008929,404.8419550699382,416.59202536210773,1.8088669752698119,132
1973,0,125,16,1,D8,3,8,ZZ.00.125,0.0,J1,3,0.5154175447295753,60.9060893776098,34.50287345608488,-99.84614012157614,404.44982865384634,416.59202536210785,1.8128260382213348,132
1996,0,126,16,1,E7,4,7,ZZ.00.126,0.0,J1,7,0.5195081601639371,60.76444221034751,34.75172748030431,-101.44659576878911,404.0513628268403,416.5920253621078,1.8167851011728577,132
2019,0,127,16,1,F6,5,6,ZZ.00.127,0.0,J1,11,0.5235987755982988,60.62177826491071,34.99999999999999,-103.04546132593192,403.64656383453695,416.59202536210773,1.8207441641243807,68
128,1,0,2,1,B3,1,3,ZZ.01.000,7.0,J1,28,0.0040906154343617095,70.99940597454889,0.29043288586267,106.77140606787614,413.2278516095785,426.79900480153316,1.3179426727340011,69
157,1,1,2,1,C8,2,8,ZZ.01.001,7.0,J1,2,0.008181230868723419,70.99762390813548,0.5808609118795361,105.13456467458953,413.6473302346622,426.79900480153316,1.3219017690793216,132
180,1,2,2,1,D7,3,7,ZZ.01.002,7.0,J1,6,0.01227184630308513,70.99465383057925,0.8712792182861147,103.49607535762257,414.0603251763546,426.7990048015332,1.3258608654246418,132
203,1,3,2,1,E6,4,6,ZZ.01.003,7.0,J1,10,0.016362461737446838,70.9904957915789,1.1616829454805613,101.85596379935048,414.46682996119796,426.7990048015332,1.329819961769962,132
226,1,4,2,1,F5,5,5,ZZ.01.004,7.0,J1,14,0.020453077171808547,70.98514986071127,1.4520672341049874,100.21425570757614,414.86683821746436,426.7990048015333,1.3337790581152824,132
133,1,5,2,1,B8,1,8,ZZ.01.005,7.0,J1,5,0.02454369260617026,70.9786161274305,1.7424272251267725,98.57097681512738,415.2603436752549,426.7990048015332,1.3377381544606028,132
156,1,6,2,1,C7,2,7,ZZ.01.006,7.0,J1,9,0.028634308040531967,70.97089470106623,2.0327580599198694,96.9261528794534,415.64734016659844,426.7990048015332,1.341697250805923,132
179,1,7,2,1,D6,3,6,ZZ.01.007,7.0,J1,13,0.032724923474893676,70.96198571082196,2.3230548803461057,95.27980968222089,416.0278216255482,426.7990048015332,1.3456563471512433,132
202,1,8,2,1,E5,4,5,ZZ.01.008,7.0,J1,17,0.03681553890925539,70.95188930577282,2.613312828836477,93.6319730289101,416.40178208827666,426.7990048015332,1.3496154434965637,132
225,1,9,2,1,F4,5,4,ZZ.01.009,7.0,J1,21,0.04090615434361709,70.94060565486306,2.9035270484724243,91.9826687484105,416.76921569316914,426.79900480153316,1.3535745398418841,132
132,1,10,2,1,B7,1,7,ZZ.01.010,7.0,J1,8,0.044996769777978805,70.92813494690328,3.1936926830671113,90.3319226926158,417.1301166809158,426.7990048015332,1.3575336361872044,132
155,1,11,2,1,C6,2,6,ZZ.01.011,7.0,J1,12,0.04908738521234052,70.91447739056724,3.483804877246679,88.67976073601851,417.48447939460175,426.79900480153316,1.3614927325325246,132
